FilterType,m,fpr,targetFpr,iteration
Bloom,8.000000,0.001141,0.001000,0
Bloom,8.000000,0.001103,0.001000,1
Bloom,8.000000,0.001139,0.001000,2
Bloom,8.000000,0.001096,0.001000,3
Bloom,8.000000,0.001128,0.001000,4
Bloom,8.000000,0.001062,0.001000,5
Bloom,8.000000,0.001026,0.001000,6
Bloom,8.000000,0.001126,0.001000,7
Bloom,8.000000,0.001124,0.001000,8
Bloom,8.000000,0.001108,0.001000,9
Bloom,8.000000,0.001111,0.001000,10
Bloom,8.000000,0.001192,0.001000,11
Bloom,8.000000,0.001163,0.001000,12
Bloom,8.000000,0.001135,0.001000,13
Bloom,8.000000,0.001169,0.001000,14
Bloom,9.000000,0.001005,0.001000,0
Bloom,9.000000,0.001016,0.001000,1
Bloom,9.000000,0.001027,0.001000,2
Bloom,9.000000,0.001039,0.001000,3
Bloom,9.000000,0.001073,0.001000,4
Bloom,9.000000,0.001038,0.001000,5
Bloom,9.000000,0.000971,0.001000,6
Bloom,9.000000,0.001028,0.001000,7
Bloom,9.000000,0.001044,0.001000,8
Bloom,9.000000,0.000987,0.001000,9
Bloom,9.000000,0.001033,0.001000,10
Bloom,9.000000,0.001011,0.001000,11
Bloom,9.000000,0.001027,0.001000,12
Bloom,9.000000,0.001038,0.001000,13
Bloom,9.000000,0.001088,0.001000,14
Bloom,10.000000,0.001069,0.001000,0
Bloom,10.000000,0.001005,0.001000,1
Bloom,10.000000,0.000950,0.001000,2
Bloom,10.000000,0.000988,0.001000,3
Bloom,10.000000,0.000974,0.001000,4
Bloom,10.000000,0.001005,0.001000,5
Bloom,10.000000,0.001069,0.001000,6
Bloom,10.000000,0.000905,0.001000,7
Bloom,10.000000,0.001019,0.001000,8
Bloom,10.000000,0.001044,0.001000,9
Bloom,10.000000,0.001036,0.001000,10
Bloom,10.000000,0.000982,0.001000,11
Bloom,10.000000,0.001007,0.001000,12
Bloom,10.000000,0.001013,0.001000,13
Bloom,10.000000,0.000982,0.001000,14
Bloom,11.000000,0.001039,0.001000,0
Bloom,11.000000,0.001052,0.001000,1
Bloom,11.000000,0.001022,0.001000,2
Bloom,11.000000,0.001017,0.001000,3
Bloom,11.000000,0.001056,0.001000,4
Bloom,11.000000,0.001088,0.001000,5
Bloom,11.000000,0.001021,0.001000,6
Bloom,11.000000,0.000976,0.001000,7
Bloom,11.000000,0.001009,0.001000,8
Bloom,11.000000,0.001008,0.001000,9
Bloom,11.000000,0.000984,0.001000,10
Bloom,11.000000,0.001020,0.001000,11
Bloom,11.000000,0.001023,0.001000,12
Bloom,11.000000,0.000962,0.001000,13
Bloom,11.000000,0.001009,0.001000,14
Bloom,12.000000,0.001016,0.001000,0
Bloom,12.000000,0.001001,0.001000,1
Bloom,12.000000,0.001071,0.001000,2
Bloom,12.000000,0.001066,0.001000,3
Bloom,12.000000,0.001026,0.001000,4
Bloom,12.000000,0.001027,0.001000,5
Bloom,12.000000,0.000988,0.001000,6
Bloom,12.000000,0.001058,0.001000,7
Bloom,12.000000,0.001008,0.001000,8
Bloom,12.000000,0.001042,0.001000,9
Bloom,12.000000,0.001041,0.001000,10
Bloom,12.000000,0.001004,0.001000,11
Bloom,12.000000,0.001053,0.001000,12
Bloom,12.000000,0.001014,0.001000,13
Bloom,12.000000,0.001066,0.001000,14
Bloom,5.000000,0.011185,0.010000,0
Bloom,5.000000,0.011246,0.010000,1
Bloom,5.000000,0.011127,0.010000,2
Bloom,5.000000,0.011051,0.010000,3
Bloom,5.000000,0.011164,0.010000,4
Bloom,5.000000,0.011132,0.010000,5
Bloom,5.000000,0.011276,0.010000,6
Bloom,5.000000,0.011188,0.010000,7
Bloom,5.000000,0.010992,0.010000,8
Bloom,5.000000,0.010938,0.010000,9
Bloom,5.000000,0.011071,0.010000,10
Bloom,5.000000,0.011155,0.010000,11
Bloom,5.000000,0.011278,0.010000,12
Bloom,5.000000,0.011079,0.010000,13
Bloom,5.000000,0.011128,0.010000,14
Bloom,6.000000,0.010143,0.010000,0
Bloom,6.000000,0.010120,0.010000,1
Bloom,6.000000,0.010165,0.010000,2
Bloom,6.000000,0.010148,0.010000,3
Bloom,6.000000,0.010290,0.010000,4
Bloom,6.000000,0.010060,0.010000,5
Bloom,6.000000,0.010298,0.010000,6
Bloom,6.000000,0.010204,0.010000,7
Bloom,6.000000,0.010294,0.010000,8
Bloom,6.000000,0.009999,0.010000,9
Bloom,6.000000,0.010201,0.010000,10
Bloom,6.000000,0.010112,0.010000,11
Bloom,6.000000,0.010269,0.010000,12
Bloom,6.000000,0.010238,0.010000,13
Bloom,6.000000,0.010247,0.010000,14
Bloom,7.000000,0.009843,0.010000,0
Bloom,7.000000,0.010112,0.010000,1
Bloom,7.000000,0.010110,0.010000,2
Bloom,7.000000,0.010013,0.010000,3
Bloom,7.000000,0.010173,0.010000,4
Bloom,7.000000,0.010157,0.010000,5
Bloom,7.000000,0.010104,0.010000,6
Bloom,7.000000,0.010061,0.010000,7
Bloom,7.000000,0.010102,0.010000,8
Bloom,7.000000,0.010107,0.010000,9
Bloom,7.000000,0.010024,0.010000,10
Bloom,7.000000,0.010029,0.010000,11
Bloom,7.000000,0.009974,0.010000,12
Bloom,7.000000,0.010082,0.010000,13
Bloom,7.000000,0.009996,0.010000,14
Bloom,8.000000,0.010699,0.010000,0
Bloom,8.000000,0.010631,0.010000,1
Bloom,8.000000,0.010648,0.010000,2
Bloom,8.000000,0.010677,0.010000,3
Bloom,8.000000,0.010496,0.010000,4
Bloom,8.000000,0.010541,0.010000,5
Bloom,8.000000,0.010468,0.010000,6
Bloom,8.000000,0.010492,0.010000,7
Bloom,8.000000,0.010449,0.010000,8
Bloom,8.000000,0.010601,0.010000,9
Bloom,8.000000,0.010607,0.010000,10
Bloom,8.000000,0.010442,0.010000,11
Bloom,8.000000,0.010497,0.010000,12
Bloom,8.000000,0.010446,0.010000,13
Bloom,8.000000,0.010646,0.010000,14
Bloom,9.000000,0.010694,0.010000,0
Bloom,9.000000,0.010747,0.010000,1
Bloom,9.000000,0.010559,0.010000,2
Bloom,9.000000,0.010339,0.010000,3
Bloom,9.000000,0.010413,0.010000,4
Bloom,9.000000,0.010714,0.010000,5
Bloom,9.000000,0.010507,0.010000,6
Bloom,9.000000,0.010504,0.010000,7
Bloom,9.000000,0.010484,0.010000,8
Bloom,9.000000,0.010636,0.010000,9
Bloom,9.000000,0.010436,0.010000,10
Bloom,9.000000,0.010486,0.010000,11
Bloom,9.000000,0.010560,0.010000,12
Bloom,9.000000,0.010548,0.010000,13
Bloom,9.000000,0.010555,0.010000,14
Bloom,2.000000,0.116807,0.100000,0
Bloom,2.000000,0.116114,0.100000,1
Bloom,2.000000,0.116377,0.100000,2
Bloom,2.000000,0.116416,0.100000,3
Bloom,2.000000,0.116850,0.100000,4
Bloom,2.000000,0.116085,0.100000,5
Bloom,2.000000,0.116442,0.100000,6
Bloom,2.000000,0.116556,0.100000,7
Bloom,2.000000,0.115689,0.100000,8
Bloom,2.000000,0.116611,0.100000,9
Bloom,2.000000,0.116880,0.100000,10
Bloom,2.000000,0.116193,0.100000,11
Bloom,2.000000,0.116417,0.100000,12
Bloom,2.000000,0.116449,0.100000,13
Bloom,2.000000,0.116548,0.100000,14
Bloom,3.000000,0.100834,0.100000,0
Bloom,3.000000,0.100843,0.100000,1
Bloom,3.000000,0.101089,0.100000,2
Bloom,3.000000,0.100585,0.100000,3
Bloom,3.000000,0.100556,0.100000,4
Bloom,3.000000,0.101016,0.100000,5
Bloom,3.000000,0.101364,0.100000,6
Bloom,3.000000,0.100744,0.100000,7
Bloom,3.000000,0.100400,0.100000,8
Bloom,3.000000,0.100739,0.100000,9
Bloom,3.000000,0.100761,0.100000,10
Bloom,3.000000,0.100438,0.100000,11
Bloom,3.000000,0.100920,0.100000,12
Bloom,3.000000,0.100891,0.100000,13
Bloom,3.000000,0.100636,0.100000,14
Bloom,4.000000,0.102704,0.100000,0
Bloom,4.000000,0.102509,0.100000,1
Bloom,4.000000,0.102575,0.100000,2
Bloom,4.000000,0.102248,0.100000,3
Bloom,4.000000,0.102543,0.100000,4
Bloom,4.000000,0.102810,0.100000,5
Bloom,4.000000,0.102395,0.100000,6
Bloom,4.000000,0.102002,0.100000,7
Bloom,4.000000,0.101860,0.100000,8
Bloom,4.000000,0.102365,0.100000,9
Bloom,4.000000,0.102478,0.100000,10
Bloom,4.000000,0.102032,0.100000,11
Bloom,4.000000,0.102482,0.100000,12
Bloom,4.000000,0.102376,0.100000,13
Bloom,4.000000,0.102467,0.100000,14
Bloom,5.000000,0.114195,0.100000,0
Bloom,5.000000,0.114170,0.100000,1
Bloom,5.000000,0.114000,0.100000,2
Bloom,5.000000,0.114221,0.100000,3
Bloom,5.000000,0.113856,0.100000,4
Bloom,5.000000,0.113828,0.100000,5
Bloom,5.000000,0.113773,0.100000,6
Bloom,5.000000,0.114337,0.100000,7
Bloom,5.000000,0.114933,0.100000,8
Bloom,5.000000,0.114324,0.100000,9
Bloom,5.000000,0.113946,0.100000,10
Bloom,5.000000,0.114086,0.100000,11
Bloom,5.000000,0.114408,0.100000,12
Bloom,5.000000,0.114195,0.100000,13
Bloom,5.000000,0.114387,0.100000,14
Bloom,6.000000,0.132483,0.100000,0
Bloom,6.000000,0.132726,0.100000,1
Bloom,6.000000,0.133394,0.100000,2
Bloom,6.000000,0.132384,0.100000,3
Bloom,6.000000,0.132720,0.100000,4
Bloom,6.000000,0.132464,0.100000,5
Bloom,6.000000,0.132323,0.100000,6
Bloom,6.000000,0.131846,0.100000,7
Bloom,6.000000,0.133016,0.100000,8
Bloom,6.000000,0.132192,0.100000,9
Bloom,6.000000,0.131898,0.100000,10
Bloom,6.000000,0.132930,0.100000,11
Bloom,6.000000,0.133060,0.100000,12
Bloom,6.000000,0.132012,0.100000,13
Bloom,6.000000,0.132220,0.100000,14
