FilterType,b,failure,n,calculated
Cuckoo,1.000000,0.062067,1000000.000000,0
Cuckoo,1.000000,0.060411,1000000.000000,0
Cuckoo,1.000000,0.059652,1000000.000000,0
Cuckoo,1.000000,0.062250,1000000.000000,0
Cuckoo,1.000000,0.058989,1000000.000000,0
Cuckoo,1.000000,0.062702,1000000.000000,0
Cuckoo,1.000000,0.063502,1000000.000000,0
Cuckoo,1.000000,0.062355,1000000.000000,0
Cuckoo,1.000000,0.058492,1000000.000000,0
Cuckoo,1.000000,0.058889,1000000.000000,0
Cuckoo,2.000000,0.000142,1000000.000000,0
Cuckoo,2.000000,0.000139,1000000.000000,0
Cuckoo,2.000000,0.000162,1000000.000000,0
Cuckoo,2.000000,0.000141,1000000.000000,0
Cuckoo,2.000000,0.000140,1000000.000000,0
Cuckoo,2.000000,0.000161,1000000.000000,0
Cuckoo,2.000000,0.000146,1000000.000000,0
Cuckoo,2.000000,0.000154,1000000.000000,0
Cuckoo,2.000000,0.000147,1000000.000000,0
Cuckoo,2.000000,0.000152,1000000.000000,0
Cuckoo,4.000000,0.000000,1000000.000000,0
Cuckoo,4.000000,0.000000,1000000.000000,0
Cuckoo,4.000000,0.000000,1000000.000000,0
Cuckoo,4.000000,0.000000,1000000.000000,0
Cuckoo,4.000000,0.000000,1000000.000000,0
Cuckoo,4.000000,0.000000,1000000.000000,0
Cuckoo,4.000000,0.000000,1000000.000000,0
Cuckoo,4.000000,0.000000,1000000.000000,0
Cuckoo,4.000000,0.000000,1000000.000000,0
Cuckoo,4.000000,0.000000,1000000.000000,0
