FilterType,b,fpr,targetFpr,iteration
Cuckoo,1.000000,0.420688,0.500000,0
Cuckoo,1.000000,0.419984,0.500000,1
Cuckoo,1.000000,0.420185,0.500000,2
Cuckoo,1.000000,0.419576,0.500000,3
Cuckoo,1.000000,0.420557,0.500000,4
Cuckoo,1.000000,0.419393,0.500000,5
Cuckoo,1.000000,0.419663,0.500000,6
Cuckoo,1.000000,0.419688,0.500000,7
Cuckoo,1.000000,0.420654,0.500000,8
Cuckoo,1.000000,0.420228,0.500000,9
Cuckoo,1.000000,0.420173,0.500000,10
Cuckoo,1.000000,0.419702,0.500000,11
Cuckoo,1.000000,0.421560,0.500000,12
Cuckoo,1.000000,0.419707,0.500000,13
Cuckoo,1.000000,0.420459,0.500000,14
Cuckoo,2.000000,0.391336,0.500000,0
Cuckoo,2.000000,0.392216,0.500000,1
Cuckoo,2.000000,0.391704,0.500000,2
Cuckoo,2.000000,0.392683,0.500000,3
Cuckoo,2.000000,0.391544,0.500000,4
Cuckoo,2.000000,0.393015,0.500000,5
Cuckoo,2.000000,0.392403,0.500000,6
Cuckoo,2.000000,0.393225,0.500000,7
Cuckoo,2.000000,0.391368,0.500000,8
Cuckoo,2.000000,0.392098,0.500000,9
Cuckoo,2.000000,0.392500,0.500000,10
Cuckoo,2.000000,0.392569,0.500000,11
Cuckoo,2.000000,0.391881,0.500000,12
Cuckoo,2.000000,0.392679,0.500000,13
Cuckoo,2.000000,0.392408,0.500000,14
Cuckoo,4.000000,0.385131,0.500000,0
Cuckoo,4.000000,0.384100,0.500000,1
Cuckoo,4.000000,0.382675,0.500000,2
Cuckoo,4.000000,0.383959,0.500000,3
Cuckoo,4.000000,0.384016,0.500000,4
Cuckoo,4.000000,0.383715,0.500000,5
Cuckoo,4.000000,0.384239,0.500000,6
Cuckoo,4.000000,0.383784,0.500000,7
Cuckoo,4.000000,0.384808,0.500000,8
Cuckoo,4.000000,0.384638,0.500000,9
Cuckoo,4.000000,0.384260,0.500000,10
Cuckoo,4.000000,0.383382,0.500000,11
Cuckoo,4.000000,0.384603,0.500000,12
Cuckoo,4.000000,0.384954,0.500000,13
Cuckoo,4.000000,0.384175,0.500000,14
