FilterType,n,fails,percent,n
Local,1000000.000000,39.000000,0.000000,0
Global,1000000.000000,48.000000,0.000000,0
Local,1000000.000000,32.000000,0.000000,1
Global,1000000.000000,45.000000,0.000000,1
Local,1000000.000000,35.000000,0.000000,2
Global,1000000.000000,39.000000,0.000000,2
Local,1000000.000000,46.000000,0.000000,3
Global,1000000.000000,39.000000,0.000000,3
Local,1000000.000000,45.000000,0.000000,4
Global,1000000.000000,33.000000,0.000000,4
Local,1000000.000000,41.000000,0.000000,5
Global,1000000.000000,53.000000,0.000000,5
Local,1000000.000000,50.000000,0.000000,6
Global,1000000.000000,49.000000,0.000000,6
Local,1000000.000000,50.000000,0.000000,7
Global,1000000.000000,42.000000,0.000000,7
Local,1000000.000000,42.000000,0.000000,8
Global,1000000.000000,43.000000,0.000000,8
Local,1000000.000000,41.000000,0.000000,9
Global,1000000.000000,43.000000,0.000000,9
