FilterType,actual,target,n,iteration
Bloom,0.008070,0.008000,2000000.000000,0
Cuckoo,0.007477,0.008000,2000000.000000,0
Blocked Bloom,0.009248,0.008000,2000000.000000,0
Xor,0.007843,0.008000,2000000.000000,0
Bloom,0.008137,0.008000,2000000.000000,1
Cuckoo,0.007627,0.008000,2000000.000000,1
Blocked Bloom,0.009409,0.008000,2000000.000000,1
Xor,0.007720,0.008000,2000000.000000,1
Bloom,0.008002,0.008000,2000000.000000,2
Cuckoo,0.007456,0.008000,2000000.000000,2
Blocked Bloom,0.009313,0.008000,2000000.000000,2
Xor,0.007672,0.008000,2000000.000000,2
Bloom,0.007986,0.008000,2000000.000000,3
Cuckoo,0.007450,0.008000,2000000.000000,3
Blocked Bloom,0.009299,0.008000,2000000.000000,3
Xor,0.007814,0.008000,2000000.000000,3
Bloom,0.008098,0.008000,2000000.000000,4
Cuckoo,0.007525,0.008000,2000000.000000,4
Blocked Bloom,0.009280,0.008000,2000000.000000,4
Xor,0.007952,0.008000,2000000.000000,4
Bloom,0.008023,0.008000,2000000.000000,5
Cuckoo,0.007384,0.008000,2000000.000000,5
Blocked Bloom,0.009311,0.008000,2000000.000000,5
Xor,0.007938,0.008000,2000000.000000,5
Bloom,0.007914,0.008000,2000000.000000,6
Cuckoo,0.007578,0.008000,2000000.000000,6
Blocked Bloom,0.009173,0.008000,2000000.000000,6
Xor,0.007907,0.008000,2000000.000000,6
Bloom,0.007930,0.008000,2000000.000000,7
Cuckoo,0.007563,0.008000,2000000.000000,7
Blocked Bloom,0.009213,0.008000,2000000.000000,7
Xor,0.007898,0.008000,2000000.000000,7
Bloom,0.008075,0.008000,2000000.000000,8
Cuckoo,0.007504,0.008000,2000000.000000,8
Blocked Bloom,0.009286,0.008000,2000000.000000,8
Xor,0.007861,0.008000,2000000.000000,8
Bloom,0.008042,0.008000,2000000.000000,9
Cuckoo,0.007490,0.008000,2000000.000000,9
Blocked Bloom,0.009327,0.008000,2000000.000000,9
Xor,0.007695,0.008000,2000000.000000,9
Bloom,0.007947,0.008000,2000000.000000,10
Cuckoo,0.007452,0.008000,2000000.000000,10
Blocked Bloom,0.009134,0.008000,2000000.000000,10
Xor,0.007799,0.008000,2000000.000000,10
Bloom,0.008027,0.008000,2000000.000000,11
Cuckoo,0.007673,0.008000,2000000.000000,11
Blocked Bloom,0.009287,0.008000,2000000.000000,11
Xor,0.007789,0.008000,2000000.000000,11
Bloom,0.007766,0.008000,2000000.000000,12
Cuckoo,0.007542,0.008000,2000000.000000,12
Blocked Bloom,0.009214,0.008000,2000000.000000,12
Xor,0.007767,0.008000,2000000.000000,12
Bloom,0.008032,0.008000,2000000.000000,13
Cuckoo,0.007445,0.008000,2000000.000000,13
Blocked Bloom,0.009371,0.008000,2000000.000000,13
Xor,0.007926,0.008000,2000000.000000,13
Bloom,0.007999,0.008000,2000000.000000,14
Cuckoo,0.007426,0.008000,2000000.000000,14
Blocked Bloom,0.009344,0.008000,2000000.000000,14
Xor,0.007955,0.008000,2000000.000000,14
